guiltyid,levelofcrime,typeofcrime
30105,head,type1
80740,head,type1
92735,head,type1
1615,head,type1
4161,head,type1
33203,head,type1
41969,head,type1
37177,head,type1
31439,head,type1
84352,head,type1
95615,head,type1
41220,head,type1
39284,head,type1
82688,head,type1
30965,head,type1
72032,head,type1
24041,head,type1
82410,head,type1
24441,head,type1
43439,head,type1
69208,head,type1
71475,head,type1
75076,head,type1
82930,head,type1
13919,head,type1
42454,head,type2-1
44881,head,type2-1
58314,head,type2-1
83481,head,type2-1
51905,head,type2-1
47590,head,type2-1
70212,head,type2-1
31270,head,type2-1
29182,head,type2-1
25682,head,type2-1
39185,head,type2-1
20849,head,type2-1
30553,head,type2-1
85457,head,type2-1
73532,head,type2-1
61330,head,type2-1
34166,head,type2-1
57833,head,type2-1
95835,head,type2-1
3961,head,type2-1
68625,head,type2-1
66897,head,type2-1
950,head,type2-1
14363,head,type2-1
21038,head,type2-1
45741,head,type2-1
44827,head,type2-1
10560,head,type2-1
58107,head,type2-1
34989,head,type2-1
21697,head,type2-1
13911,head,type2-1
36647,head,type2-2
70897,head,type2-2
85539,head,type2-2
82128,head,type2-2
28680,head,type2-2
60685,head,type2-2
66955,head,type2-2
12290,head,type2-2
10085,head,type2-2
55735,head,type2-2
68275,head,type2-2
32083,head,type2-2
8475,head,type2-2
1366,head,type2-2
84551,head,type2-2
75252,head,type2-2
94652,head,type2-2
8971,head,type2-2
67506,head,type2-2
67662,head,type2-2
56721,head,type2-2
52483,head,type2-2
71881,head,type2-2
1991,head,type2-2
57768,head,type2-2
7654,head,type2-2
63730,head,type2-2
55033,head,type2-2
67570,head,type2-2
44075,head,type2-2
41703,head,type2-2
861,head,type2-2
28046,head,type3
90946,head,type3
6477,head,type3
61346,head,type3
18165,head,type3
9987,head,type3
59470,head,type3
35270,head,type3
3329,head,type3
78494,head,type3
14943,head,type3
83988,head,type3
78030,head,type3
31163,head,type3
94670,head,type3
77952,head,type3
89131,head,type3
86903,head,type3
18941,head,type3
86839,head,type3
42168,head,type3
73055,head,type3
42594,head,type3
51149,head,type3
83790,head,type3
74713,head,type3
77508,head,type3
95498,head,type3
28942,colleague,type1
8692,colleague,type1
60094,colleague,type1
20575,colleague,type1
45938,colleague,type1
54971,colleague,type1
62257,colleague,type1
1020,colleague,type1
98751,colleague,type1
82016,colleague,type1
13800,colleague,type1
52681,colleague,type1
80113,colleague,type1
64316,colleague,type1
94472,colleague,type1
23762,colleague,type1
12860,colleague,type1
61008,colleague,type1
3164,colleague,type1
24259,colleague,type1
29758,colleague,type1
47869,colleague,type1
79227,colleague,type1
68225,colleague,type1
65031,colleague,type1
90735,colleague,type1
84696,colleague,type1
67988,colleague,type1
33384,colleague,type1
57761,colleague,type1
90295,colleague,type1
28815,colleague,type1
39965,colleague,type1
48861,colleague,type1
96543,colleague,type1
83049,colleague,type1
36644,colleague,type1
12726,colleague,type1
38032,colleague,type1
19808,colleague,type1
16792,colleague,type1
98862,colleague,type1
64222,colleague,type1
45890,colleague,type1
